ID	Dist.(miles)	Alt(ft)	Time
A6C6F7/N536CP  	0.1	1225	2022-01-12 23:30:42.800000
AC90A7/AAL1785 	0.6	22800	2022-01-12 23:30:55.800000
A86259/N6396D  	2.5	400	2022-01-12 23:31:58.800000
ACB54B/N918KG  	0.7	1400	2022-01-12 23:32:11.800000
AD7C57/N96808  	1.4	825	2022-01-12 23:32:39.800000
A919B4/N686CA  	1.2	5775	2022-01-12 23:34:30.800000
A45A39/N38PC   	2.4	1175	2022-01-12 23:40:44.800000
A24B86/N247RQ  	0.7	1475	2022-01-12 23:41:46.800000
A86259	1.2	700	2022-01-12 23:43:23.800000
A7A4E6/ASA78   	0.6	19525	2022-01-12 23:44:29.800000
A95EF3/N7024U  	2.4	1300	2022-01-12 23:45:39.800000
A38238/N325PR  	0.5	950	2022-01-12 23:49:47.800000
A9D6E0/N733HA  	1.8	725	2022-01-12 23:50:39.800000
A9C290/N728PG  	2.4	1000	2022-01-12 23:50:47.800000
A4DEF4/N41270  	0.8	1000	2022-01-12 23:52:09.800000
A4F0AB/N4171Q  	2.1	1150	2022-01-12 23:54:18.800000
A9D6E0/N733HA  	2.3	475	2022-01-12 23:54:45.800000
A94B0A/UAL1159 	2.3	38000	2022-01-12 23:55:20.800000
A7F7A0/SKW3104 	0.6	21000	2022-01-12 23:56:04.800000
AC1190/AAL624  	0.6	22650	2022-01-13 00:00:03.800000
A9D6E0/N733HA  	1.4	725	2022-01-13 00:00:31.800000
AA5BFD/N767ER  	2.0	675	2022-01-13 00:01:10.800000
~358F6B	1.6	1200	2022-01-13 00:03:01.800000
A9B97A	2.1	0	2022-01-13 00:03:44.800000
~358F6B	2.0	2000	2022-01-13 00:04:22.800000
~358B41	0.4	1500	2022-01-13 00:04:30.800000
AA5BFD/N767ER  	2.4	450	2022-01-13 00:05:59.800000
A12260/N172UC  	2.2	600	2022-01-13 00:07:04.800000
A72F56/N562LD  	0.6	18500	2022-01-13 00:07:32.800000
AA5BFD/N767ER  	2.4	475	2022-01-13 00:10:21.800000
A12260/N172UC  	2.2	500	2022-01-13 00:11:53.800000
A1F595/SWA1029 	0.6	27575	2022-01-13 00:11:56.800000
AA5BFD/N767ER  	2.5	400	2022-01-13 00:13:48.800000
A12260/N172UC  	2.2	500	2022-01-13 00:16:18.800000
AA5BFD/N767ER  	2.3	400	2022-01-13 00:17:35.800000
A12260/N172UC  	2.2	500	2022-01-13 00:20:25.800000
ABD254/SWA2188 	0.4	23000	2022-01-13 00:23:46.800000
A12260/N172UC  	2.1	500	2022-01-13 00:24:59.800000
A8E590/N6720T  	1.7	5900	2022-01-13 00:26:51.800000
A95EF3/N7024U  	2.4	400	2022-01-13 00:27:05.800000
A12260/N172UC  	2.1	400	2022-01-13 00:29:47.800000
A5D965/SWA5580 	0.6	24800	2022-01-13 00:29:58.800000
A95EF3/N7024U  	2.4	400	2022-01-13 00:31:08.800000
AB5BF0/SWA5722 	1.8	20925	2022-01-13 00:32:06.800000
AC2380/N881W   	0.4	1350	2022-01-13 00:32:09.800000
A3EC93/DAL477  	1.9	22275	2022-01-13 00:33:01.800000
43E9D0/MANGO   	0.3	24750	2022-01-13 00:34:24.800000
A95EF3/N7024U  	2.4	400	2022-01-13 00:35:23.800000
A0047A/N10XT   	0.6	19800	2022-01-13 00:36:54.800000
A12260/N172UC  	2.5	500	2022-01-13 00:37:52.800000
A95EF3/N7024U  	2.4	400	2022-01-13 00:39:15.800000
A95EF3/N7024U  	2.4	400	2022-01-13 00:42:45.800000
AC7543/N9010H  	1.0	1100	2022-01-13 00:44:20.800000
A12260/N172UC  	2.0	600	2022-01-13 00:45:27.800000
AAFAC1/N80616  	0.2	1200	2022-01-13 00:46:44.800000
A95EF3/N7024U  	2.0	600	2022-01-13 00:47:30.800000
AA5BFD/N767ER  	2.4	350	2022-01-13 00:48:50.800000
A1A1E7/N204LP  	2.5	900	2022-01-13 00:50:34.800000
A74C35/N57BM   	1.6	1300	2022-01-13 00:51:49.800000
A95EF3/N7024U  	2.4	400	2022-01-13 00:51:57.800000
AAFAC1/N80616  	1.2	1400	2022-01-13 00:53:17.800000
A95EF3/N7024U  	2.4	400	2022-01-13 00:56:17.800000
AC7543/N9010H  	1.1	1100	2022-01-13 01:01:13.800000
AA6BA6/SWA159  	0.6	23700	2022-01-13 01:01:33.800000
AE6014/KNIFE25 	2.2	500	2022-01-13 01:03:47.800000
AE6014/KNIFE25 	2.2	450	2022-01-13 01:04:23.800000
A20D36/N231LE  	0.8	900	2022-01-13 01:06:19.800000
A1286C/DAL436  	1.7	27100	2022-01-13 01:13:55.800000
AA395B/SKW3185 	0.6	18200	2022-01-13 01:15:43.800000
A8B381/N66SS   	1.6	4300	2022-01-13 01:16:14.800000
A8352B/NKS631  	0.7	22125	2022-01-13 01:35:23.800000
A700DA/EJA550  	2.3	6750	2022-01-13 01:36:35.800000
A45586/DAL1101 	0.6	23325	2022-01-13 01:43:44.800000
A413F8/ABX105  	0.7	23950	2022-01-13 01:45:17.800000
AB00A9/FDY806  	0.2	8200	2022-01-13 01:48:21.800000
A66A84/SKW6254 	0.6	23775	2022-01-13 01:48:57.800000
A34DE4/N3117Q  	1.4	11850	2022-01-13 01:50:01.800000
A74C35/N57BM   	0.5	900	2022-01-13 01:51:00.800000
A3C60D/AAL1029 	0.6	23000	2022-01-13 01:52:19.800000
AD9737/N975LE  	1.6	5800	2022-01-13 02:00:21.800000
A23B36/N243AT  	1.8	3000	2022-01-13 02:00:53.800000
A51259/N426EM  	1.5	7800	2022-01-13 02:03:34.800000
A446BB/N375DT  	1.5	25500	2022-01-13 02:04:05.800000
